action,step,count,avg,std
CASH_IN,170,87,163654.2318,125022.3803
CASH_IN,181,902,168282.6372,124579.5969
CASH_IN,182,2296,171060.5015,126395.6534
CASH_IN,183,2444,168942.6902,125224.35
CASH_IN,184,2780,170286.3502,125644.9278
CASH_IN,185,3940,168861.8618,125870.802
CASH_IN,186,4590,167441.5251,123300.8124
CASH_IN,187,5263,165317.4976,121431.8648
CASH_IN,188,4733,161448.5251,120146.4578
CASH_IN,189,3804,161390.844,121389.8495
CASH_IN,190,2734,161888.5557,121200.6697
CASH_IN,191,2013,163788.1718,122580.9239
CASH_IN,192,665,165081.7392,123302.2658
CASH_IN,193,225,164061.1929,123208.5033
CASH_IN,194,67,167068.8289,124794.2312
CASH_IN,195,30,168605.5364,118292.8807
CASH_IN,204,324,164435.5959,123113.0756
CASH_IN,205,1574,169092.6234,124385.918
CASH_IN,206,1568,167787.269,123928.9884
CASH_IN,207,1777,166669.9867,122285.8089
CASH_IN,208,2583,167804.367,123383.6265
CASH_IN,209,2544,164923.1971,123166.4005
CASH_IN,210,3171,165084.5927,122168.0558
CASH_IN,211,3651,164871.2188,122039.0873
CASH_IN,212,4306,162910.5346,122821.3078
CASH_IN,213,3438,162186.1573,122784.0319
CASH_IN,214,2536,165240.2486,123936.3716
CASH_IN,215,1738,165396.1904,123678.934
CASH_IN,216,743,166645.3548,125358.5741
CASH_IN,217,600,167891.8006,124394.4406
CASH_IN,228,191,176401.527,130795.3912
CASH_IN,229,559,177456.204,131528.2961
CASH_IN,230,144,181579.2237,132899.5895
CASH_IN,231,1426,172918.7893,129601.9937
CASH_IN,232,2726,173634.8987,129430.9101
CASH_IN,234,3702,170103.9754,125074.9619
CASH_IN,235,5899,167198.123,122834.4969
CASH_IN,236,4630,163613.0279,121750.0453
CASH_IN,237,3477,162595.1547,122535.3275
CASH_IN,238,2450,164715.8945,121606.7332
CASH_IN,239,1865,165146.302,121762.8607
CASH_IN,240,680,166467.913,122693.9079
CASH_IN,241,296,169337.1584,125041.3614
CASH_IN,242,95,164835.2081,118959.087
CASH_IN,252,149,182184.5138,134530.2406
CASH_IN,253,844,172542.415,129348.6595
CASH_IN,254,1245,170113.8828,125549.5262
CASH_IN,255,1684,170316.9078,125886.525
CASH_IN,256,1987,169808.0318,125268.405
CASH_IN,257,1650,168813.2437,124422.3503
CASH_IN,258,2186,167976.2167,123256.5723
CASH_IN,259,5498,164150.8636,121819.9468
CASH_IN,260,4165,163919.5683,121392.9002
CASH_IN,261,3391,164015.0643,122009.2652
CASH_IN,262,2627,167537.7375,123890.6197
CASH_IN,263,1941,168222.0693,124491.9046
CASH_IN,264,694,173166.3583,126233.0824
CASH_IN,265,315,171971.6335,127053.5956
CASH_IN,266,75,168165.8876,124203.023
CASH_IN,267,29,171704.2674,125636.8547
CASH_IN,276,1,85764.03,0.0
CASH_IN,277,50,161642.3305,121760.8596
CASH_IN,279,24,173569.1414,123936.2822
CASH_IN,281,1259,165035.0451,121740.2797
CASH_IN,282,2690,169381.4266,124795.5574
CASH_IN,283,3258,165457.5202,123971.1885
CASH_IN,284,4012,165661.9878,124870.3764
CASH_IN,285,3084,170520.0042,126642.9126
CASH_IN,286,2544,171406.2475,126142.0195
CASH_IN,287,1581,172821.9114,127814.6451
CASH_IN,288,685,174698.4929,128331.3363
CASH_IN,289,137,177621.6059,131118.1627
CASH_IN,290,58,174510.8901,130937.6234
CASH_IN,291,14,168804.57,115080.6672
CASH_IN,301,402,180503.6411,131748.1279
CASH_IN,302,1059,178749.0207,129625.5498
CASH_IN,303,636,184049.387,133406.3944
CASH_IN,304,1324,176594.9879,126800.5942
CASH_IN,305,3647,177469.7769,129457.7155
CASH_IN,306,4622,175331.3033,127047.5731
CASH_IN,307,4447,173515.9951,125460.0153
CASH_IN,308,4840,170314.0028,125136.0968
CASH_IN,309,3624,169724.8591,125521.9202
CASH_IN,310,2526,170967.0219,125547.5715
CASH_IN,311,2009,172903.9387,126456.689
CASH_IN,312,576,171758.9874,126630.4191
CASH_IN,313,123,173483.4461,127297.8335
CASH_IN,314,72,173383.9946,127568.4382
CASH_IN,323,101,180086.897,129019.1599
CASH_IN,324,106,181829.398,128270.6095
CASH_IN,325,127,179230.4745,127635.5678
CASH_IN,326,346,186208.9,137610.7694
CASH_IN,329,1342,175970.373,126609.3922
CASH_IN,330,3179,173315.8304,126491.7861
CASH_IN,331,3359,172851.3698,125444.1528
CASH_IN,332,4562,170246.3765,124718.8438
CASH_IN,333,3333,171837.7309,126079.8365
CASH_IN,334,2753,167931.6829,123819.4105
CASH_IN,335,2324,169892.2544,124775.1662
CASH_IN,336,448,174823.9341,128566.0332
CASH_IN,337,61,170687.5975,128924.8655
CASH_IN,338,60,171482.1835,129671.1454
CASH_IN,349,209,183071.8372,130027.2226
CASH_IN,350,153,176095.8673,126225.2701
CASH_IN,354,2586,173764.7232,125744.05
CASH_IN,355,3188,173259.6598,125931.6979
CASH_IN,356,4142,168393.5661,123518.3954
CASH_IN,357,3637,169294.7773,123925.9585
CASH_IN,358,2639,172469.0155,127197.8689
CASH_IN,359,1701,165817.0577,118541.3637
CASH_IN,360,618,157972.4619,111923.702
CASH_IN,361,72,155366.5764,113228.5532
CASH_IN,362,1,75388.98091,60530.96142
CASH_IN,372,29,221647.6014,149571.3028
CASH_IN,373,46,181425.3883,127048.4975
CASH_IN,374,38,191607.3274,127499.1124
CASH_IN,375,171,208000.1249,144077.248
CASH_IN,376,78,182857.8042,127833.9629
CASH_IN,379,71,148294.8435,106577.9693
CASH_IN,380,614,133379.8891,92229.78977
CASH_IN,381,370,108650.4691,75405.21534
CASH_IN,382,190,126296.8222,87624.11033
CASH_IN,383,69,130981.5662,91533.59819
CASH_IN,384,15,142276.6797,90829.08182
